datetime_utc,stream,id,country,room,sensor,value,average_value
2023-06-01T08:00:00.000000000,periodic,99,XX,livingroom,temperature,,22.0
2023-06-01T08:00:00.000000000,periodic,99,XX,livingroom,humidity,,45.0
2023-06-01T08:00:00.000000000,periodic,99,XX,livingroom,ambient_light,,500.0
2023-06-01T08:00:00.000000000,periodic,99,XX,kitchen,ambient_light,,100.0
2023-06-01T08:00:00.000000000,periodic,99,XX,bedroom,ambient_light,,40.0
2023-06-01T08:00:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:01:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:02:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:03:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:04:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:05:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:06:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:07:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:08:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:09:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:10:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:11:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:12:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:13:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:14:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:15:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:16:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:17:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:18:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:19:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:20:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:21:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:22:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:23:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:24:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:25:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:26:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:27:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:28:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:29:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:30:00.000000000,event,99,XX,livingroom,movement,off,
2023-06-01T08:30:00.000000000,periodic,99,XX,livingroom,ambient_light,,320.0
2023-06-01T08:30:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:31:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:32:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:33:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:34:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:35:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:36:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:37:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:38:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:39:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:40:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:41:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:42:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:43:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:44:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:45:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:46:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:47:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:48:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:49:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:50:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:51:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:52:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:53:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:54:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:55:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:56:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:57:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:58:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T08:59:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:00:00.000000000,event,99,XX,livingroom,movement,off,
2023-06-01T09:00:00.000000000,periodic,99,XX,livingroom,ambient_light,,50.0
2023-06-01T09:00:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:01:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:02:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:03:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:04:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:05:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:06:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:07:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:08:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:09:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:10:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:11:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:12:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:13:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:14:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:15:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:16:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:17:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:18:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:19:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:20:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:21:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:22:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:23:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:24:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:25:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:26:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:27:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:28:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:29:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:30:00.000000000,event,99,XX,livingroom,movement,off,
2023-06-01T09:30:00.000000000,periodic,99,XX,livingroom,ambient_light,,90.0
2023-06-01T09:30:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:31:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:32:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:33:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:34:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:35:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:36:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:37:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:38:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:39:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:40:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:41:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:42:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:43:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:44:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:45:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:46:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:47:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:48:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:49:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:50:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:51:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:52:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:53:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:54:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:55:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:56:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:57:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:58:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T09:59:00.000000000,event,99,XX,livingroom,movement,on,
2023-06-01T10:00:00.000000000,event,99,XX,livingroom,movement,off,
2023-06-01T10:00:00.000000000,periodic,99,XX,livingroom,temperature,,24.0
2023-06-01T10:00:00.000000000,periodic,99,XX,livingroom,humidity,,58.0
2023-06-01T10:00:00.000000000,periodic,99,XX,livingroom,ambient_light,,200.0
2023-06-01T10:00:00.000000000,periodic,99,XX,kitchen,ambient_light,,450.0
2023-06-01T10:00:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:01:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:02:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:03:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:04:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:05:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:06:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:07:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:08:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:09:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:10:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:11:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:12:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:13:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:14:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:15:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:16:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:17:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:18:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:19:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:20:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:21:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:22:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:23:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:24:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:25:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:26:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:27:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:28:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:29:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:30:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:31:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:32:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:33:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:34:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:35:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:36:00.000000000,event,99,XX,kitchen,movement,on,
2023-06-01T10:37:00.000000000,event,99,XX,kitchen,movement,on,
